name,image,category,trailer,stars,platform
El juego del pulpo,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714575806/NarcisoIPTV/the_octogame_s3qktb.jpg,Action,https://www.youtube.com/watch?v=AXk-2I_HM2o,3,Prime Video
Boss Level,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714575919/NarcisoIPTV/boss_level_e8qyyw.jpg,Action,https://www.youtube.com/watch?v=K__U4HYzBwk,3,Prime Video
Código Fuente,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714576004/NarcisoIPTV/source_code_cg0qup.jpg,Action,https://www.youtube.com/watch?v=NXE5SCHzPkU,4,Prime Video
Medellín,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714576073/NarcisoIPTV/medellin_ilnxlh.jpg,Action,https://www.youtube.com/watch?v=gEPU6HB_AEU,4,Prime Video
John Wick 4,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714576160/NarcisoIPTV/john_wick_chapter_4_an9uat.jpg,Action,https://www.youtube.com/watch?v=L0anWmmd8TI,5,Prime Video
El Contratista,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714576273/NarcisoIPTV/the_contractor_eskaep.jpg,Action,https://www.youtube.com/watch?v=SaK670ZLUHs,3,Prime Video
Anna,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714576440/NarcisoIPTV/anna_nq9w5h.jpg,Action,https://www.youtube.com/watch?v=oZSMV-NDH4w,4,Prime Video
La novena profecía ,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714591885/NarcisoIPTV/9profecia_eabrwc.jpg,Horror,https://www.youtube.com/watch?v=i6WSE2VZwRg,3,Prime Video
Propiedad Privada,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714592017/NarcisoIPTV/private_property_xllbws.jpg,Horror,https://www.youtube.com/watch?v=xc9BQyOSwBU,4,Prime Video
La invocación,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714592100/NarcisoIPTV/we_summon_the_darknes_q4dhoy.jpg,Horror,https://www.youtube.com/watch?v=SrfKzcAMXPI,3,Prime Video
The broken,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714592287/NarcisoIPTV/the_broken_bd9san.jpg,Horror,https://www.youtube.com/watch?v=s0IfcdGgg-s,4,Prime Video
El bufón,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714593892/NarcisoIPTV/the_jester_daekqx.jpg,Horror,https://www.youtube.com/watch?v=UxR3l4PMzD8,4,Prime Video
Para Elisa,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714593969/NarcisoIPTV/para_elisa_vrlljv.jpg,Horror,https://www.youtube.com/watch?v=WuNzWcMQiS0,2,Prime Video
El vecindario,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714594041/NarcisoIPTV/vecindario_qcua2t.jpg,Horror,https://www.youtube.com/watch?v=Unk2Bhc_9JQ,3,Prime Video
La criada,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714594138/NarcisoIPTV/the_maid_tkmodu.jpg,Horror,https://www.youtube.com/watch?v=unsXtUJydac,4,Prime Video
El Río del Terror,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714594258/NarcisoIPTV/upurga_qbqyjw.jpg,Horror,https://www.youtube.com/watch?v=4Az4zpFx6xM,3,Prime Video
Un buen matrimonio,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714594334/NarcisoIPTV/a_good_marriage_hzjxp4.jpg,Horror,https://www.youtube.com/watch?v=CrPjbe4oF4o,4,Prime Video
Medium,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714594495/NarcisoIPTV/medium_b2ttso.jpg,Horror,https://www.youtube.com/watch?v=YQ3ATjnAlHY,3,Prime Video
Altar,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714594644/NarcisoIPTV/altar-_dnln5f.jpg,Horror,https://www.youtube.com/watch?v=yQiScGs974I,4,Prime Video
La novia,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714594788/NarcisoIPTV/LaNovia_igbl61.jpg,Horror,https://www.youtube.com/watch?v=xa_shObtvAQ,4,Prime Video
Relic,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714594969/NarcisoIPTV/Relic_fsukkw.jpg,Horror,https://www.youtube.com/watch?v=0zbJyg1VGVw,3,Prime Video
El convento,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714595071/NarcisoIPTV/elConvento_ktb9mj.jpg,Horror,https://www.youtube.com/watch?v=2uLdaofchbk,4,Prime Video
No tengas miedo,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714595141/NarcisoIPTV/cobweb_vqufdt.jpg,Horror,https://www.youtube.com/watch?v=y3A9Zrd9YUc,4,Prime Video
Juego extremo,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714595214/NarcisoIPTV/extremity_xz06kr.jpg,Horror,https://www.youtube.com/watch?v=yAYKO7gqYEk,4,Prime Video
Te veo,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714595316/NarcisoIPTV/i_see_you_jmj0ff.jpg,Horror,https://www.youtube.com/watch?v=WtgLFVjWnmA,3,Prime Video
Salta,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714651488/NarcisoIPTV/salta_upqa8l.jpg,Kids,https://www.youtube.com/watch?v=i_UthERfz9E,3,Prime Video
El reino Mágico,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714651568/NarcisoIPTV/konyok_gorbunok_arfnaj.jpg,Kids,https://www.youtube.com/watch?v=K7ZbeCyUpuw,4,Prime Video
Mavka,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714651647/NarcisoIPTV/mavka_zsqisj.jpg,Kids,https://www.youtube.com/watch?v=t4Qt-1svKD4,3,Prime Video
Tom & Jerry,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714651743/NarcisoIPTV/tom_and_jerry_a5oqba.jpg,Kids,https://www.youtube.com/watch?v=E5dbpIjUm1k,4,Prime Video
Hotel transilvania,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714651839/NarcisoIPTV/hotel_transylvania_ncqs2j.jpg,Kids,https://www.youtube.com/watch?v=VHv3Zy6zwco,3,Prime Video
Jóvenes extraordinarios,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714651904/NarcisoIPTV/die_wolf_gang_cp7f8e.jpg,Kids,https://www.youtube.com/watch?v=gOgIgzr9Z8c,4,Prime Video
El secreto de Vicky,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714652019/NarcisoIPTV/mystere_akwvy6.jpg,Kids,https://www.youtube.com/watch?v=cJS3eFV-v68,3,Prime Video
El principe olvidado,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714652110/NarcisoIPTV/le_prince_oublie_rss3kr.jpg,Kids,https://www.youtube.com/watch?v=6oZl5Tu3Rj0,4,Prime Video
